"","X","Pos","Player","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr.","team_abbr","year"
"14700",24,"FS","Omar Stoutmire",24,"1",12,"1.0 sacks, 0 interceptions, 1 fumble recovered","Dallas Cowboys / 7th / 224th pick / 1997","dal",1998
"14701",26,"K","Richie Cunningham",28,"1",0,"29 of 35 field goals & 40 of 40 extra points","","dal",1998
"14702",27,"P","Toby Gowin",23,"1",0,"77 punts for a 43.4 average, 1 blocked","","dal",1998
"14703",28,"PR","Deion Sanders*+",31,"9",11,"24 punt returns for a 15.6 average and 2 td","Atlanta Falcons / 1st / 5th pick / 1989","dal",1998
"14704",29,"KR","Kevin Mathis",24,"1",4,"25 kick returns for a 24.8 average and 0 td","","dal",1998
"14705",2,"QB","Troy Aikman",33,"10",14,"263 for 442, 2,964 yards, 17 td, 12 int, & 21 rushes for 10 yards and 1 td","Dallas Cowboys / 1st / 1st pick / 1989","dal",1999
"14706",3,"RB","Emmitt Smith*",30,"9",15,"329 rushes for 1,397 yards, 11 td, & 27 catches for 119 yards and 2 td","Dallas Cowboys / 1st / 17th pick / 1990","dal",1999
"14707",4,"WR","Rocket Ismail",30,"6",14,"80 catches for 1,097 yards, 6 td, & 13 rushes for 110 yards and 1 td","Los Angeles Raiders / 4th / 100th pick / 1991","dal",1999
"14708",5,"TE","David LaFleur",25,"2",16,"35 catches for 322 yards, 7 td","Dallas Cowboys / 1st / 22nd pick / 1997","dal",1999
"14709",6,"LT","Flozell Adams",24,"1",16,"1 fumble recovered","Dallas Cowboys / 2nd / 38th pick / 1998","dal",1999
"14710",7,"LG","Larry Allen*+",28,"5",11,"","Dallas Cowboys / 2nd / 46th pick / 1994","dal",1999
"14711",8,"C","Mark Stepnoski",32,"10",15,"1 fumble recovered","Dallas Cowboys / 3rd / 57th pick / 1989","dal",1999
"14712",9,"RG","Everett McIver",29,"5",14,"1 fumble recovered","","dal",1999
"14713",10,"RT","Erik Williams*",31,"8",14,"","Dallas Cowboys / 3rd / 70th pick / 1991","dal",1999
"14714",12,"DE","Greg Ellis",24,"1",13,"","Dallas Cowboys / 1st / 8th pick / 1998","dal",1999
"14715",13,"DE","Kavika Pittman",25,"3",16,"","Dallas Cowboys / 2nd / 37th pick / 1996","dal",1999
"14716",14,"DT","Chad Hennings",34,"7",16,"","Dallas Cowboys / 11th / 290th pick / 1988","dal",1999
"14717",15,"DT","Alonzo Spellman",28,"7",16,"","Chicago Bears / 1st / 22nd pick / 1992","dal",1999
"14718",16,"MLB","Randall Godfrey",26,"3",16,"1.0 sacks, 1 interception, 0 fumbles recovered","Dallas Cowboys / 2nd / 49th pick / 1996","dal",1999
"14719",17,"LB","Dexter Coakley*",27,"2",16,"","Dallas Cowboys / 3rd / 65th pick / 1997","dal",1999
"14720",18,"LB","Darren Hambrick",24,"1",12,"","Dallas Cowboys / 5th / 130th pick / 1998","dal",1999
"14721",19,"LCB","Kevin Smith",29,"7",8,"0.0 sacks, 1 interception, 0 fumbles recovered","Dallas Cowboys / 1st / 17th pick / 1992","dal",1999
"14722",20,"RCB","Deion Sanders*",32,"10",14,"0.0 sacks, 3 interceptions, 0 fumbles recovered","Atlanta Falcons / 1st / 5th pick / 1989","dal",1999
"14723",21,"SS","Darren Woodson",30,"7",15,"1.0 sacks, 2 interceptions, 0 fumbles recovered","Dallas Cowboys / 2nd / 37th pick / 1992","dal",1999
"14724",22,"FS","George Teague",28,"6",14,"0.0 sacks, 3 interceptions, 1 fumble recovered","Green Bay Packers / 1st / 29th pick / 1993","dal",1999
"14725",2,"RB","Emmitt Smith",31,"10",16,"294 rushes for 1,203 yards, 9 td, & 11 catches for 79 yards and 0 td","Dallas Cowboys / 1st / 17th pick / 1990","dal",2000
